"space","subspace","title","prompt","answer"
"COBOL Mainframe","Batch e JCL Exercícios","Batch ou CICS","Ler um arquivo grande de clientes, classificar registros e gerar outro arquivo é mais típico de batch ou de CICS? Justifique.","É batch, porque envolve processamento em lote, geralmente sem interação imediata com usuário e com volume maior de dados."
"COBOL Mainframe","Batch e JCL Exercícios","Objetivo do READ","Em um loop de leitura de arquivo com READ, qual é a função do AT END?","Detectar o fim do arquivo e permitir encerrar o processamento de forma controlada."
"COBOL Mainframe","Batch e JCL Exercícios","Falha por arquivo ausente","Cite dois motivos comuns para um job batch falhar antes mesmo da lógica principal do programa.","Dataset de entrada ausente ou com DISP incorreto, e erro de JCL ou alocação de espaço."
"COBOL Mainframe","Batch e JCL Exercícios","Identificar partes do JCL","Em um JCL com JOB, EXEC e DD, qual é a função de cada uma dessas instruções?","JOB identifica e parametriza o job. EXEC define o programa ou procedimento a executar. DD associa arquivos, spool, parâmetros e datasets ao step."
"COBOL Mainframe","Batch e JCL Exercícios","DISP SHR","O que significa DISP=SHR em um dataset de entrada?","Significa que o dataset será compartilhado, normalmente para leitura sem exclusividade."
"COBOL Mainframe","Batch e JCL Exercícios","SYSOUT","Para que serve SYSOUT=* em JCL?","Direciona a saída do step para o spool, onde logs e mensagens podem ser consultados."
"COBOL Mainframe","Batch e JCL Exercícios","Return code","O que é RC em execução de job e por que ele importa?","É o return code, um código de retorno que indica sucesso, alerta ou falha. Importa porque ajuda a decidir próximos passos e diagnosticar problemas."
"COBOL Mainframe","Batch e JCL Exercícios","Análise de step com erro","Se um job falhar no STEP002, qual seria sua primeira linha de análise?","Ver o spool, identificar mensagens do step, analisar RC, verificar datasets usados e confirmar se o problema vem do JCL ou do programa."
"COBOL Mainframe","Batch e JCL Exercícios","Produção noturna","Um job noturno não processou porque o arquivo de entrada não chegou. O que você comunica ao negócio?","Comunico o impacto, o fato de que a entrada necessária não foi disponibilizada, o status atual, o contorno se houver e a previsão de reprocessamento."
"COBOL Mainframe","Batch e JCL Exercícios","Diferença batch x online","Explique rapidamente a diferença entre processamento batch e processamento online.","Batch é processamento em lote, agendado e orientado a volume. Online é transacional, imediato e voltado a resposta rápida."
"COBOL Mainframe","DB2 SQL Exercícios","Resultado do SELECT","O que retorna um SELECT NOME, SALDO FROM CLIENTE WHERE SALDO > 1000?","Retorna nome e saldo apenas dos clientes com saldo acima de 1000."
"COBOL Mainframe","DB2 SQL Exercícios","Risco de UPDATE","Qual o principal risco de um UPDATE com WHERE incorreto?","Alterar registros indevidos, causar impacto operacional e possivelmente exigir rollback ou correção de dados."
"COBOL Mainframe","DB2 SQL Exercícios","SQLCODE 0","O que significa SQLCODE = 0 em um programa COBOL com DB2?","Significa execução bem-sucedida da instrução SQL."
"COBOL Mainframe","DB2 SQL Exercícios","SQLCODE +100","O que significa SQLCODE = +100?","Significa que nenhum registro foi encontrado para a consulta, sem ser erro técnico."
"COBOL Mainframe","DB2 SQL Exercícios","SQLCODE negativo","Como você trataria um SQLCODE negativo em produção?","Registraria evidências, avaliaria impacto, analisaria a instrução SQL e parâmetros, e aplicaria correção ou contorno conforme criticidade."
"COBOL Mainframe","DB2 SQL Exercícios","JOIN bancário","Por que JOIN é tão comum em sistemas bancários?","Porque os dados ficam distribuídos em várias tabelas, como cliente, conta, agência e produto, exigindo relacionamento para compor a informação de negócio."
"COBOL Mainframe","DB2 SQL Exercícios","Cursor","Quando faz sentido usar cursor em DB2?","Quando é preciso percorrer vários registros de forma controlada em vez de tratar apenas uma linha."
"COBOL Mainframe","DB2 SQL Exercícios","COMMIT","Por que COMMIT e ROLLBACK são importantes em aplicações críticas?","Porque garantem consistência transacional, confirmando alterações válidas e desfazendo mudanças em caso de erro."
"COBOL Mainframe","Sustentação e Incidentes","Incidente crítico","Como você começa a investigar um incidente crítico em produção envolvendo mainframe?","Começo avaliando impacto e criticidade, depois identifico job, step ou transação afetada, consulto mensagens, RC, logs, dados de entrada e alterações recentes."
"COBOL Mainframe","Sustentação e Incidentes","Causa raiz","Explique em quatro partes como apresentar uma causa raiz após um incidente.","Sintoma observado, causa identificada, correção aplicada e ação preventiva para evitar recorrência."
"COBOL Mainframe","Sustentação e Incidentes","Correção emergencial x definitiva","Qual a diferença entre correção emergencial e correção definitiva?","A emergencial estabiliza o ambiente rápido. A definitiva trata a origem do problema com mais segurança e cobertura de testes."
"COBOL Mainframe","Sustentação e Incidentes","Evidências","Que tipos de evidência você registra ao tratar incidente em produção?","Mensagens de erro, RC, logs, horários, datasets envolvidos, SQLCODE, impacto no negócio, ação executada e resultado do reprocessamento."
"COBOL Mainframe","Sustentação e Incidentes","Mudança em rotina crítica","Antes de alterar uma rotina COBOL crítica, o que você avalia?","Fluxo completo, dependências, copybooks, JCL, tabelas, cenários de teste, risco de regressão e plano de rollback."
"COBOL Mainframe","Sustentação e Incidentes","Diferença de postura pleno e sênior","O que diferencia um pleno de um sênior ao lidar com falha em produção?","O sênior tende a ter mais autonomia, visão de impacto sistêmico, comunicação com negócio, priorização melhor e preocupação com prevenção de recorrência."
"COBOL Mainframe","Entrevista Técnica","Entrevista experiência COBOL","Como responderia à pergunta: fale da sua experiência com COBOL em mainframe?","Eu destacaria manutenção e evolução de sistemas legados, atuação com batch e ou CICS, integração com JCL e DB2, testes, deploy e sustentação de incidentes em produção."
"COBOL Mainframe","Entrevista Técnica","Entrevista batch ou CICS","Como responder de forma forte à pergunta: você trabalhou com batch ou CICS?","Eu diria em quais cenários atuei mais, explicando que batch é forte para processamento em lote e CICS para rotinas online, demonstrando entender diferenças de operação e desempenho."
"COBOL Mainframe","Entrevista Técnica","Entrevista leitura de legado","Como explicar sua abordagem para entender um programa legado sem documentação?","Eu sigo o fluxo do programa, identifico entradas e saídas, examino copybooks, chamadas, acessos a DB2, JCL relacionado e testo cenários para confirmar a regra."
"COBOL Mainframe","Entrevista Técnica","Entrevista JCL","Monte uma resposta curta para: qual sua experiência com JCL?","Tenho familiaridade com leitura e ajuste de JCL para execução de programas, análise de steps, datasets, parâmetros e troubleshooting de jobs em ambiente mainframe."
"COBOL Mainframe","Entrevista Técnica","Entrevista SQLCODE","Como responder à pergunta: como você trata SQLCODE em COBOL com DB2?","Eu valido o SQLCODE logo após a instrução SQL, trato o sucesso, o caso de não encontrado e códigos negativos, registrando evidências e definindo a ação conforme o impacto do processo."
"COBOL Mainframe","Entrevista Técnica","Entrevista incidente","Monte uma resposta para: conte como você atua em um incidente crítico.","Primeiro avalio impacto, depois identifico o ponto de falha com logs, RC e mensagens, proponho contorno quando necessário, aplico a correção com segurança e documento causa raiz e prevenção."
"COBOL Mainframe","Entrevista Técnica","Entrevista deploy","Como responder à pergunta: já acompanhou deploy em produção?","Sim, acompanhando validações antes da implantação, conferência de pacote, execução controlada, monitoramento pós deploy e atuação rápida em caso de desvio."
"COBOL Mainframe","Entrevista Técnica","Entrevista bancária","O que dizer se perguntarem sobre cuidados extras em sistema bancário?","Eu destacaria criticidade, rastreabilidade, necessidade de testes robustos, controle de mudanças, janelas batch, impacto financeiro e operacional e alta preocupação com disponibilidade."
"COBOL Mainframe","Entrevista Técnica","Entrevista Control-M","Como falar sobre Control-M sem exagerar experiência?","Posso dizer que tenho familiaridade com o conceito de scheduling, dependências e monitoramento de jobs, e que consigo atuar na leitura operacional do fluxo mesmo se meu uso prático não tiver sido profundo."
"COBOL Mainframe","Entrevista Técnica","Entrevista Assembler","Como mencionar Assembler como diferencial sem inventar domínio?","Posso dizer que conheço o papel do Assembler em ambientes legados e integração de baixo nível, mesmo que minha atuação principal tenha sido em COBOL."
"COBOL Mainframe","Flashcards","Drill rápido 1","Defina JCL em uma frase.","JCL é a linguagem de controle usada para descrever como programas e arquivos serão executados no mainframe."
"COBOL Mainframe","Flashcards","Drill rápido 2","Defina CICS em uma frase.","CICS é um monitor transacional para processamento online no mainframe."
"COBOL Mainframe","Flashcards","Drill rápido 3","Defina batch em uma frase.","Batch é processamento em lote, normalmente agendado e orientado a volume."
"COBOL Mainframe","Flashcards","Drill rápido 4","O que é um step?","É uma etapa de execução dentro de um job."
"COBOL Mainframe","Flashcards","Drill rápido 5","O que é um dataset?","É uma estrutura de arquivo no ambiente mainframe."
"COBOL Mainframe","Flashcards","Drill rápido 6","O que é DISP?","É o parâmetro que define status e tratamento do dataset durante e após a execução."
"COBOL Mainframe","Flashcards","Drill rápido 7","O que é host variable?","É uma variável COBOL usada para trocar dados com uma instrução SQL embutida."
"COBOL Mainframe","Flashcards","Drill rápido 8","O que é +100?","É o código de não encontrado em DB2."
"COBOL Mainframe","Flashcards","Drill rápido 9","O que é rollback?","É o desfazimento das alterações transacionais não confirmadas."
"COBOL Mainframe","Flashcards","Drill rápido 10","O que é spool?","É a área onde ficam saídas e mensagens de execução do job."
"COBOL Mainframe","Entrevista Técnica","Pergunta senioridade 1","Como você decide entre uma solução rápida e uma solução estrutural?","Avalio impacto, risco, urgência e janela disponível. Em incidente crítico posso aplicar contorno rápido, mas sempre proponho correção estrutural depois."
"COBOL Mainframe","Entrevista Técnica","Pergunta senioridade 2","Como você evita recorrência de um problema?","Registrando causa raiz, ampliando testes, revisando dependências e compartilhando aprendizado com o time."
"COBOL Mainframe","Entrevista Técnica","Pergunta senioridade 3","Como você conversa com a área de negócio durante uma falha?","Com objetividade: explico impacto, status, contorno e previsão, sem excesso de jargão técnico."
"COBOL Mainframe","Entrevista Técnica","Pergunta senioridade 4","Como você prioriza incidentes simultâneos?","Pelo impacto no negócio, criticidade operacional, volume afetado, janela de processamento e risco de efeito cascata."
"COBOL Mainframe","Entrevista Técnica","Pergunta senioridade 5","Como você lida com requisito pouco claro?","Valido entendimento com exemplos, confirmo cenários com negócio e só implemento após reduzir ambiguidades."
"COBOL Mainframe","Sustentação e Incidentes","Exercício prático arquivo vazio","Se o arquivo de entrada vier vazio em um batch, o que o programa deveria fazer idealmente?","Tratar o fim de arquivo sem abend, registrar situação e seguir a regra definida pelo negócio."
"COBOL Mainframe","Sustentação e Incidentes","Exercício prático dado inválido","Um campo numérico veio com caracteres inválidos no arquivo. Que risco existe?","Erro de conversão, abend e interrupção do processamento se o programa não tratar o dado."
"COBOL Mainframe","Sustentação e Incidentes","Exercício prático deploy","Após deploy, o job passou a retornar RC maior que o normal. Qual sua ação inicial?","Comparar com execução anterior, revisar mudança aplicada e examinar step, mensagens e dados de entrada."
"COBOL Mainframe","Sustentação e Incidentes","Exercício prático copybook","Por que um ajuste em copybook pode gerar impacto em vários programas?","Porque o copybook é compartilhado e mudanças nele podem afetar layout, compilação e regra em diversos módulos."
"COBOL Mainframe","Sustentação e Incidentes","Exercício prático performance","Qual pista simples pode indicar problema de performance em DB2?","Aumento incomum no tempo de execução, espera elevada ou degradação após mudança de volume ou índice."
