"space","subspace","title","lang","description","code"
"COBOL Mainframe","COBOL CICS","Pseudo CICS RETURN COMMAREA","cobol","Exemplo de retorno em programa CICS com COMMAREA.","IDENTIFICATION DIVISION.
PROGRAM-ID. EXCICS2.
DATA DIVISION.
WORKING-STORAGE SECTION.
01 WS-COD-RET      PIC 9(2) VALUE 0.

PROCEDURE DIVISION.
    EXEC CICS RETURN
         TRANSID('AB01')
         COMMAREA(WS-COD-RET)
         LENGTH(2)
    END-EXEC."
"COBOL Mainframe","DB2 SQL","SELECT saldo por conta","sql","Consulta saldo de uma conta específica.","SELECT NUM_CONTA, SALDO
FROM CONTA
WHERE NUM_CONTA = 12345;"
"COBOL Mainframe","DB2 SQL","SELECT cliente VIP","sql","Lista clientes com saldo acima de 1000.","SELECT NOME, SALDO
FROM CLIENTE
WHERE SALDO > 1000;"
"COBOL Mainframe","DB2 SQL","UPDATE crédito em conta","sql","Credita 100 unidades em uma conta específica.","UPDATE CONTA
SET SALDO = SALDO + 100
WHERE NUM_CONTA = 12345;"
"COBOL Mainframe","DB2 SQL","JOIN cliente e agência","sql","Relaciona cliente à sua agência.","SELECT C.NOME, A.NUM_AGENCIA
FROM CLIENTE C
JOIN AGENCIA A
  ON C.COD_AGENCIA = A.COD_AGENCIA;"
"COBOL Mainframe","DB2 SQL","Cursor exemplo DB2","sql","Exemplo conceitual de cursor para processar vários registros.","EXEC SQL
   DECLARE C1 CURSOR FOR
      SELECT NUM_CONTA, SALDO
      FROM CONTA
      WHERE STATUS = 'A'
END-EXEC.

EXEC SQL
   OPEN C1
END-EXEC.

EXEC SQL
   FETCH C1 INTO :WS-NUM-CONTA, :WS-SALDO
END-EXEC.

EXEC SQL
   CLOSE C1
END-EXEC."
"COBOL Mainframe","COBOL + DB2","SELECT INTO host variables","cobol","Busca saldo no DB2 usando host variables em COBOL.","EXEC SQL
    SELECT SALDO
      INTO :WS-SALDO
      FROM CONTA
     WHERE NUM_CONTA = :WS-NUM-CONTA
END-EXEC."
"COBOL Mainframe","COBOL + DB2","Verificação SQLCODE","cobol","Trata sucesso, não encontrado e erro após SELECT.","IF SQLCODE = 0
   DISPLAY 'REGISTRO ENCONTRADO'
ELSE
   IF SQLCODE = +100
      DISPLAY 'NAO ENCONTRADO'
   ELSE
      DISPLAY 'ERRO DB2'
   END-IF
END-IF."
"COBOL Mainframe","JCL","JCL básico execução programa","jcl","Executa programa COBOL com dataset de entrada e saída.","//JOB001   JOB (123),'PROCESSA CLIENTE',CLASS=A,MSGCLASS=X
//STEP001  EXEC PGM=PROGCOB
//ENTRADA  DD DSN=ARQ.CLIENTES.IN,DISP=SHR
//SAIDA    DD DSN=ARQ.CLIENTES.OUT,DISP=(NEW,CATLG,DELETE),
//            SPACE=(TRK,(1,1)),UNIT=SYSDA
//SYSOUT   DD SYSOUT=*
//SYSIN    DD DUMMY"
"COBOL Mainframe","JCL","JCL dois steps encadeados","jcl","Executa programa de carga e depois programa de relatório.","//JOB002   JOB (123),'FLUXO 2 STEPS',CLASS=A,MSGCLASS=X
//STEP001  EXEC PGM=PROGCARG
//ARQIN    DD DSN=APP.INPUT,DISP=SHR
//ARQTMP   DD DSN=APP.TEMP,DISP=(NEW,PASS,DELETE),
//            SPACE=(TRK,(5,2)),UNIT=SYSDA
//SYSOUT   DD SYSOUT=*
//STEP002  EXEC PGM=PROGREL
//ARQTMP   DD DSN=APP.TEMP,DISP=(OLD,DELETE,DELETE)
//RELAT    DD DSN=APP.RELATORIO,DISP=(NEW,CATLG,DELETE),
//            SPACE=(TRK,(2,1)),UNIT=SYSDA
//SYSOUT   DD SYSOUT=*"
"COBOL Mainframe","JCL","JCL COND por return code","jcl","Exemplo simples pulando step se RC do step anterior for maior que 4.","//JOB003   JOB (123),'COND EXEMPLO',CLASS=A,MSGCLASS=X
//STEP001  EXEC PGM=VALDADOS
//SYSOUT   DD SYSOUT=*
//STEP002  EXEC PGM=PROCARGA,COND=(4,LT,STEP001)
//SYSOUT   DD SYSOUT=*"
"COBOL Mainframe","JCL","JCL IDCAMS delete dataset","jcl","Remove dataset antes de recriação.","//JOB004   JOB (123),'DELETE DSN',CLASS=A,MSGCLASS=X
//STEP001  EXEC PGM=IDCAMS
//SYSPRINT DD SYSOUT=*
//SYSIN    DD *
  DELETE APP.ARQ.SAIDA
  SET MAXCC = 0
/*"
"COBOL Mainframe","Ferramentas Mainframe","Control-M conceito em comentário","txt","Resumo textual para cadastro como exemplo de ferramenta de scheduling.","Control-M:
- agenda e monitora jobs batch
- controla dependências
- permite rerun
- centraliza visão operacional do processamento"
"COBOL Mainframe","Ferramentas Mainframe","Changeman conceito em comentário","txt","Resumo textual para cadastro como exemplo de ferramenta de promote/deploy.","Changeman:
- organiza pacotes de mudança
- controla promoções entre ambientes
- apoia governança de implantação
- comum em times mainframe legados"
"COBOL Mainframe","Ferramentas Mainframe","TSO comandos comuns","txt","Resumo de comandos e navegação no ambiente TSO/E.","TSO/E:
- acesso interativo ao mainframe
- navegação por datasets
- edição e submissão de jobs
- consulta de membros PDS"
"COBOL Mainframe","Sustentação","Pseudo fluxo análise incidente","txt","Checklist resumido para análise de incidente em produção.","1. validar impacto
2. identificar job, step ou transação
3. checar mensagens e RC
4. revisar alteração recente
5. aplicar contorno seguro
6. registrar causa raiz"
"COBOL Mainframe","COBOL Básico","88 level status ativo","cobol","Usa nível 88 para facilitar leitura de condições.","IDENTIFICATION DIVISION.
PROGRAM-ID. EX88.
DATA DIVISION.
WORKING-STORAGE SECTION.
01 WS-STATUS       PIC X VALUE 'A'.
   88 STATUS-ATIVO VALUE 'A'.
   88 STATUS-INATIVO VALUE 'I'.

PROCEDURE DIVISION.
    IF STATUS-ATIVO
       DISPLAY 'CONTA ATIVA'
    END-IF
    STOP RUN."
"COBOL Mainframe","COBOL Básico","INSPECT contando caracteres","cobol","Conta ocorrências de espaço em um nome.","IDENTIFICATION DIVISION.
PROGRAM-ID. EXINSP.
DATA DIVISION.
WORKING-STORAGE SECTION.
01 WS-NOME         PIC X(20) VALUE 'ANA MARIA'.
01 WS-QTD-ESP      PIC 9(2) VALUE 0.

PROCEDURE DIVISION.
    INSPECT WS-NOME TALLYING WS-QTD-ESP FOR ALL SPACE
    DISPLAY WS-QTD-ESP
    STOP RUN."
"COBOL Mainframe","COBOL Básico","SEARCH em tabela","cobol","Procura código em tabela OCCURS.","IDENTIFICATION DIVISION.
PROGRAM-ID. EXSEARCH.
DATA DIVISION.
WORKING-STORAGE SECTION.
01 WS-IDX          PIC 9 VALUE 1.
01 TABELA.
   05 ITEM OCCURS 3 TIMES INDEXED BY IDX.
      10 COD-ITEM  PIC 9(2).
01 WS-ACHOU        PIC X VALUE 'N'.

PROCEDURE DIVISION.
    MOVE 10 TO COD-ITEM(1)
    MOVE 20 TO COD-ITEM(2)
    MOVE 30 TO COD-ITEM(3)

    SEARCH ITEM
       AT END MOVE 'N' TO WS-ACHOU
       WHEN COD-ITEM(IDX) = 20
            MOVE 'S' TO WS-ACHOU
    END-SEARCH

    DISPLAY WS-ACHOU
    STOP RUN."
"COBOL Mainframe","COBOL Básico","CALL subprograma","cobol","Chama um subprograma passando área de comunicação.","IDENTIFICATION DIVISION.
PROGRAM-ID. EXCALL.
DATA DIVISION.
WORKING-STORAGE SECTION.
01 WS-AREA.
   05 WS-CODIGO     PIC 9(4) VALUE 1234.

PROCEDURE DIVISION.
    CALL 'SUBPGM01' USING WS-AREA
    DISPLAY WS-CODIGO
    STOP RUN."
"COBOL Mainframe","COBOL Arquivos","OPEN INPUT OUTPUT I-O","cobol","Mostra tipos de abertura de arquivo mais comuns.","OPEN INPUT  ARQ-ENTRADA
OPEN OUTPUT ARQ-SAIDA
OPEN I-O    ARQ-MESTRE"
"COBOL Mainframe","DB2 SQL","DELETE controlado","sql","Exclui apenas registros inativos.","DELETE FROM CLIENTE
WHERE STATUS = 'I';"
"COBOL Mainframe","DB2 SQL","COMMIT e ROLLBACK conceito","sql","Exemplo conceitual de controle transacional.","-- após bloco de updates bem-sucedidos
COMMIT;

-- em caso de erro de negócio ou técnico
ROLLBACK;"
